,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-10-14,121.8,122.54,119.84,120.04,118.615474683544,3763840.0,0.0,1.0
2022-10-13,116.1,122.15,115.545,121.79,120.344707278481,5837645.0,0.0,1.0
2022-10-12,118.0,118.81,117.2,117.57,116.174786392405,3338754.0,0.0,1.0
2022-10-11,117.46,119.23,116.94,117.8,116.402056962025,4043265.0,0.0,1.0
2022-10-10,119.79,119.96,117.04,117.75,116.352650316456,5990008.0,0.0,1.0
2022-10-07,121.5,121.8016,118.07,118.82,117.409952531646,4499672.0,0.0,1.0
2022-10-06,124.88,125.3,121.77,122.23,120.779485759494,5074624.0,0.0,1.0
2022-10-05,124.71,126.46,124.23,125.74,124.247832278481,3212872.0,0.0,1.0
2022-10-04,122.8,125.65,122.52,125.5,124.010680379747,4566055.0,0.0,1.0
2022-10-03,120.16,122.21,119.6,121.51,120.068030063291,4261729.0,0.0,1.0
2022-09-30,121.66,122.43,118.61,118.81,117.400071202532,5346108.0,0.0,1.0
2022-09-29,121.85,122.62,120.57,121.63,120.186606012658,3817723.0,0.0,1.0
2022-09-28,121.65,123.23,119.81,122.76,121.303196202532,4996378.0,0.0,1.0
2022-09-27,122.6,123.95,121.08,121.74,120.295300632911,4117215.0,0.0,1.0
2022-09-26,122.3,124.26,121.75,122.01,120.562096518987,3987817.0,0.0,1.0
2022-09-23,124.53,125.0,121.74,122.71,121.253789556962,5195693.0,0.0,1.0
2022-09-22,124.76,126.51,124.41,125.31,123.822935126582,4038335.0,0.0,1.0
2022-09-21,126.89,127.84,124.92,124.93,123.447444620253,3389545.0,0.0,1.0
2022-09-20,126.9,126.99,125.52,126.3,124.801186708861,2837485.0,0.0,1.0
2022-09-19,126.49,128.06,126.28,127.73,126.214216772152,3981606.0,0.0,1.0
2022-09-16,124.36,127.53,123.83,127.27,125.759675632911,9839696.0,0.0,1.0
2022-09-15,127.39,127.465,124.9,125.49,124.000799050633,5141671.0,0.0,1.0
2022-09-14,127.5,129.0,126.845,127.69,126.174691455696,3819067.0,0.0,1.0
2022-09-13,129.14,129.909,126.7709,127.25,125.739912974684,4565585.0,0.0,1.0
2022-09-12,130.33,130.99,129.89,130.66,129.109446202532,3741168.0,0.0,1.0
2022-09-09,128.9,129.49,128.06,129.19,127.656890822785,3293365.0,0.0,1.0
2022-09-08,127.2,128.54,126.59,128.47,126.945435126582,2964613.0,0.0,1.0
2022-09-07,126.69,127.8667,126.28,127.71,126.194454113924,2401513.0,0.0,1.0
2022-09-06,127.8,128.06,126.3,126.72,125.216202531646,3345343.0,0.0,1.0
